X,Y,Distance_from_Origin,Class,Slope,Curvature,Angle_with_X_Axis
-7.850746268656716,0.6559999999999999,7.878105925590703,sin_graph.png,0.0,0.0,0.0
-7.850746268656716,0.648,7.8774438096902575,sin_graph.png,-inf,0.0,-90.0
-7.820895522388059,0.42399999999999993,7.832380402668757,sin_graph.png,-7.50399999999987,inf,-82.40935773332323
-7.820895522388059,0.43199999999999994,7.832817550033296,sin_graph.png,inf,inf,90.0
-7.820895522388059,0.472,7.8351254471201415,sin_graph.png,inf,0.0,90.0
-7.820895522388059,0.48,7.835611448515655,sin_graph.png,inf,0.0,90.0
-7.791044776119403,0.43999999999999995,7.803459406154262,sin_graph.png,-1.3400000000000172,-inf,-53.26717333551099
-7.791044776119403,0.43199999999999994,7.8030124121070985,sin_graph.png,-inf,-inf,-90.0
-7.791044776119403,0.48,7.80581697860624,sin_graph.png,inf,inf,90.0
-7.791044776119403,0.472,7.8053291220484375,sin_graph.png,-inf,-inf,-90.0
-7.7611940298507465,0.6559999999999999,7.788868259830235,sin_graph.png,6.164000000000072,inf,80.7850569371865
-7.7611940298507465,0.632,7.786883636538488,sin_graph.png,-inf,-inf,-90.0
-7.7611940298507465,0.624,7.786238422305784,sin_graph.png,-inf,0.0,-90.0
-7.7611940298507465,0.544,7.780235778496103,sin_graph.png,-inf,0.0,-90.0
-7.7611940298507465,0.43999999999999995,7.773656332060922,sin_graph.png,-inf,0.0,-90.0
-7.7611940298507465,0.43199999999999994,7.773207624204494,sin_graph.png,-inf,0.0,-90.0
-7.7611940298507465,0.704,7.7930577290939445,sin_graph.png,inf,inf,90.0
-7.7611940298507465,0.696,7.792339107674336,sin_graph.png,-inf,-inf,-90.0
-7.7611940298507465,0.72,7.794519405902514,sin_graph.png,inf,inf,90.0
-7.7611940298507465,0.648,7.78819855736812,sin_graph.png,-inf,-inf,-90.0
-7.7611940298507465,0.688,7.791628633924416,sin_graph.png,inf,inf,90.0
-7.7611940298507465,0.528,7.779133420181895,sin_graph.png,-inf,-inf,-90.0
-7.7611940298507465,0.584,7.783134893408367,sin_graph.png,inf,inf,90.0
-7.7611940298507465,0.592,7.7837392536614995,sin_graph.png,inf,0.0,90.0
-7.7611940298507465,0.52,7.77859452401209,sin_graph.png,-inf,-inf,-90.0
-7.7611940298507465,0.552,7.780799237160079,sin_graph.png,inf,inf,90.0
-7.731343283582089,0.712,7.764059052363646,sin_graph.png,5.359999999999902,-inf,79.43198579099048
-7.731343283582089,0.688,7.761894934137532,sin_graph.png,-inf,-inf,-90.0
-7.731343283582089,0.44799999999999995,7.744312297976489,sin_graph.png,-inf,0.0,-90.0
-7.731343283582089,0.6799999999999999,7.7611899196315175,sin_graph.png,inf,inf,90.0
-7.731343283582089,0.45599999999999996,7.744779207220169,sin_graph.png,-inf,-inf,-90.0
-7.731343283582089,0.6559999999999999,7.759123982034948,sin_graph.png,inf,inf,90.0
-7.731343283582089,0.52,7.748810809962383,sin_graph.png,-inf,-inf,-90.0
-7.731343283582089,0.592,7.753975301004632,sin_graph.png,inf,inf,90.0
-7.731343283582089,0.56,7.751597833259274,sin_graph.png,-inf,-inf,-90.0
-7.731343283582089,0.72,7.764796775743064,sin_graph.png,inf,inf,90.0
-7.731343283582089,0.552,7.751023994840287,sin_graph.png,-inf,-inf,-90.0
-7.701492537313433,0.552,7.721249335586469,sin_graph.png,0.0,inf,0.0
-7.701492537313433,0.592,7.724212018212246,sin_graph.png,inf,inf,90.0
-7.701492537313433,0.616,7.726088486569028,sin_graph.png,inf,0.0,90.0
-7.701492537313433,0.45599999999999996,7.714980447304743,sin_graph.png,-inf,-inf,-90.0
-7.701492537313433,0.688,7.732162136317014,sin_graph.png,inf,inf,90.0
-7.701492537313433,0.44799999999999995,7.714511734536055,sin_graph.png,-inf,-inf,-90.0
-7.701492537313433,0.608,7.7254547634617925,sin_graph.png,inf,inf,90.0
-7.671641791044776,0.696,7.703148951571993,sin_graph.png,2.9479999999999467,-inf,71.26239444982014
-7.671641791044776,0.472,7.686148045029102,sin_graph.png,-inf,-inf,-90.0
-7.671641791044776,0.52,7.68924494148188,sin_graph.png,inf,inf,90.0
-7.671641791044776,0.496,7.687659186651336,sin_graph.png,-inf,-inf,-90.0
-7.671641791044776,0.688,7.70243025090813,sin_graph.png,inf,inf,90.0
-7.671641791044776,0.6799999999999999,7.70171979301407,sin_graph.png,-inf,-inf,-90.0
