X,Y,Distance_from_Origin,Class,Slope,Curvature,Angle_with_X_Axis
-7.104477611940299,1.2181818181818183,7.208159895612034,linear_graph.png,0.0,0.0,0.0
-7.104477611940299,1.2242424242424241,7.209186615137376,linear_graph.png,inf,0.0,90.0
-7.074626865671641,1.084848484848485,7.1573208341921495,linear_graph.png,-4.669696969696879,-inf,-77.91286069189064
-7.074626865671641,1.0545454545454545,7.152790462762448,linear_graph.png,-inf,-inf,-90.0
-7.074626865671641,1.0909090909090908,7.158241958268179,linear_graph.png,inf,inf,90.0
-7.074626865671641,1.0484848484848486,7.151899451613204,linear_graph.png,-inf,-inf,-90.0
-7.044776119402985,1.0606060606060606,7.124167024172362,linear_graph.png,0.4060606060606061,inf,22.10013347153443
-7.044776119402985,1.084848484848485,7.127816412309497,linear_graph.png,inf,inf,90.0
-7.044776119402985,1.0545454545454545,7.1232672762021965,linear_graph.png,-inf,-inf,-90.0
-7.044776119402985,1.0909090909090908,7.128741348733216,linear_graph.png,inf,inf,90.0
-7.014925373134329,1.0606060606060606,7.094650323055965,linear_graph.png,-1.0151515151515265,-inf,-45.43078721700895
-7.014925373134329,1.2,7.116823588557173,linear_graph.png,inf,inf,90.0
-7.014925373134329,1.2484848484848485,7.125159114541937,linear_graph.png,inf,0.0,90.0
-7.014925373134329,1.0545454545454545,7.093746831283612,linear_graph.png,-inf,-inf,-90.0
-7.014925373134329,1.2727272727272727,7.129446872050286,linear_graph.png,inf,inf,90.0
-7.014925373134329,1.206060606060606,7.117848001758332,linear_graph.png,-inf,-inf,-90.0
-7.014925373134329,1.2606060606060607,7.1272930086169834,linear_graph.png,inf,inf,90.0
-7.014925373134329,1.2545454545454544,7.126223564284555,linear_graph.png,-inf,-inf,-90.0
-7.014925373134329,1.1696969696969697,7.111776781618084,linear_graph.png,-inf,0.0,-90.0
-7.014925373134329,1.121212121212121,7.103963303072221,linear_graph.png,-inf,0.0,-90.0
-7.014925373134329,1.2242424242424241,7.120951306107827,linear_graph.png,inf,inf,90.0
-7.014925373134329,1.1272727272727272,7.1049223635657475,linear_graph.png,-inf,-inf,-90.0
-7.014925373134329,1.1393939393939394,7.106855601443682,linear_graph.png,inf,inf,90.0
-7.014925373134329,1.1454545454545455,7.107829774716491,linear_graph.png,inf,0.0,90.0
-7.014925373134329,1.1757575757575758,7.112776101326059,linear_graph.png,inf,0.0,90.0
-7.014925373134329,1.2181818181818183,7.119911862712386,linear_graph.png,inf,0.0,90.0
-6.985074626865671,1.2666666666666666,7.098993730616125,linear_graph.png,1.624242424242391,-inf,58.38057107209247
-6.985074626865671,1.1757575757575758,7.083337731594755,linear_graph.png,-inf,-inf,-90.0
-6.985074626865671,1.2727272727272727,7.100077623070497,linear_graph.png,inf,inf,90.0
-6.985074626865671,1.2424242424242424,7.094708277374487,linear_graph.png,-inf,-inf,-90.0
-6.985074626865671,1.0666666666666667,7.06604877712151,linear_graph.png,-inf,0.0,-90.0
-6.985074626865671,1.0727272727272728,7.066966205136083,linear_graph.png,inf,inf,90.0
-6.985074626865671,1.2242424242424241,7.091546873299053,linear_graph.png,inf,0.0,90.0
-6.985074626865671,1.2484848484848485,7.095772118647754,linear_graph.png,inf,0.0,90.0
-6.985074626865671,1.121212121212121,7.074488261608439,linear_graph.png,-inf,-inf,-90.0
-6.985074626865671,1.1454545454545455,7.078370833644214,linear_graph.png,inf,inf,90.0
-6.985074626865671,1.1515151515151516,7.079354115104821,linear_graph.png,inf,0.0,90.0
-6.955223880597015,1.0666666666666667,7.03654155157239,linear_graph.png,-2.84242424242428,-inf,-70.61749745368374
-6.955223880597015,1.1939393939393939,7.056956178525368,linear_graph.png,inf,inf,90.0
-6.955223880597015,1.2484848484848485,7.0663890103873594,linear_graph.png,inf,0.0,90.0
-6.955223880597015,1.1757575757575758,7.053902827951228,linear_graph.png,-inf,-inf,-90.0
-6.955223880597015,1.1454545454545455,7.048915189228019,linear_graph.png,-inf,0.0,-90.0
-6.955223880597015,1.0727272727272728,7.037462826252079,linear_graph.png,-inf,0.0,-90.0
-6.955223880597015,1.187878787878788,7.05593333613062,linear_graph.png,inf,inf,90.0
-6.925373134328358,1.2606060606060607,7.039170454656834,linear_graph.png,2.436363636363594,-inf,67.68441142412888
-6.925373134328358,1.1818181818181819,7.02548840042833,linear_graph.png,-inf,-inf,-90.0
-6.925373134328358,1.084848484848485,7.0098280495854555,linear_graph.png,-inf,0.0,-90.0
-6.925373134328358,1.103030303030303,7.012664892826415,linear_graph.png,inf,inf,90.0
-6.925373134328358,1.1393939393939394,7.018476444272262,linear_graph.png,inf,0.0,90.0
-6.925373134328358,1.2484848484848485,7.0370098384593165,linear_graph.png,inf,0.0,90.0
-6.925373134328358,1.2424242424242424,7.035937112271572,linear_graph.png,-inf,-inf,-90.0
-6.925373134328358,1.121212121212121,7.015547709938972,linear_graph.png,-inf,0.0,-90.0
-6.925373134328358,1.2545454545454544,7.038087620028444,linear_graph.png,inf,inf,90.0
-6.895522388059701,1.2727272727272727,7.011994275167114,linear_graph.png,0.6090909090909203,-inf,31.345214141716145
-6.895522388059701,1.187878787878788,6.997091182693344,linear_graph.png,-inf,-inf,-90.0
-6.895522388059701,1.2545454545454544,7.008716951179669,linear_graph.png,inf,inf,90.0
-6.895522388059701,1.2666666666666666,7.010896764942201,linear_graph.png,inf,0.0,90.0
-6.895522388059701,1.121212121212121,6.986082280147118,linear_graph.png,-inf,-inf,-90.0
-6.895522388059701,1.1818181818181819,6.996064838114967,linear_graph.png,inf,inf,90.0
-6.895522388059701,1.2606060606060607,7.009804322823091,linear_graph.png,inf,0.0,90.0
-6.865671641791045,1.2666666666666666,6.981539338665807,linear_graph.png,0.20303030303029934,-inf,11.47678051582696
-6.865671641791045,1.1939393939393939,6.968711385133847,linear_graph.png,-inf,-inf,-90.0
-6.865671641791045,1.1151515151515152,6.955645907795944,linear_graph.png,-inf,0.0,-90.0
-6.835820895522388,1.1939393939393939,6.939303898235101,linear_graph.png,2.6393939393938872,inf,69.24956170288179
-6.835820895522388,1.1757575757575758,6.936198756711909,linear_graph.png,-inf,-inf,-90.0
-6.835820895522388,1.2242424242424241,6.944581832549421,linear_graph.png,inf,inf,90.0
-6.835820895522388,1.1151515151515152,6.926182947150993,linear_graph.png,-inf,-inf,-90.0
-6.835820895522388,1.1696969696969697,6.935173993244782,linear_graph.png,inf,inf,90.0
-6.835820895522388,1.2484848484848485,6.948896439907328,linear_graph.png,inf,0.0,90.0
-6.835820895522388,1.2666666666666666,6.9521861137418455,linear_graph.png,inf,0.0,90.0
