X,Y,Distance_from_Origin,Class,Slope,Curvature,Angle_with_X_Axis
-4.272076372315036,1.85546875,4.657617503951882,cos_graph.png,0.0,0.0,0.0
-4.272076372315036,1.8515625,4.65606273822622,cos_graph.png,-inf,0.0,-90.0
-4.248210023866348,1.765625,4.600513020034127,cos_graph.png,-3.6007812499999585,inf,-74.47909482783842
-4.248210023866348,1.76953125,4.60201360836809,cos_graph.png,inf,inf,90.0
-4.248210023866348,1.7421875,4.5915689793397165,cos_graph.png,-inf,-inf,-90.0
-4.248210023866348,1.74609375,4.593052556924162,cos_graph.png,inf,inf,90.0
-4.224343675417661,1.765625,4.578483496603017,cos_graph.png,0.8183593749999907,-inf,39.29550021348346
-4.224343675417661,1.75,4.572480671150092,cos_graph.png,-inf,-inf,-90.0
-4.224343675417661,1.74609375,4.570987078501782,cos_graph.png,-inf,0.0,-90.0
-4.224343675417661,1.76953125,4.579991302695645,cos_graph.png,inf,inf,90.0
-4.200477326968974,1.8515625,4.590456781823206,cos_graph.png,3.4371093750000887,-inf,73.77805983127976
-4.200477326968974,1.87890625,4.601553919130958,cos_graph.png,inf,inf,90.0
-4.200477326968974,1.83984375,4.58574255696877,cos_graph.png,-inf,-inf,-90.0
-4.200477326968974,1.84375,4.5873111772453825,cos_graph.png,inf,inf,90.0
-4.200477326968974,1.87109375,4.598369449671207,cos_graph.png,inf,0.0,90.0
-4.200477326968974,1.875,4.5999603013917865,cos_graph.png,inf,0.0,90.0
-4.200477326968974,1.88671875,4.604749441172883,cos_graph.png,inf,0.0,90.0
-4.200477326968974,1.82421875,4.579496022733504,cos_graph.png,-inf,-inf,-90.0
-4.200477326968974,1.75,4.550440613213232,cos_graph.png,-inf,0.0,-90.0
-4.200477326968974,1.8203125,4.577941390192393,cos_graph.png,inf,inf,90.0
-4.200477326968974,1.7890625,4.5656055899832895,cos_graph.png,-inf,-inf,-90.0
-4.200477326968974,1.80078125,4.570210376419446,cos_graph.png,inf,inf,90.0
-4.200477326968974,1.74609375,4.54893978396829,cos_graph.png,-inf,-inf,-90.0
-4.200477326968974,1.85546875,4.5920337603949495,cos_graph.png,inf,inf,90.0
-4.200477326968974,1.79296875,4.567137693660766,cos_graph.png,-inf,-inf,-90.0
-4.200477326968974,1.8046875,4.571750949804316,cos_graph.png,inf,inf,90.0
-4.176610978520286,1.8671875,4.57498288806116,cos_graph.png,2.61874999999997,-inf,69.10006461744626
-4.176610978520286,1.85546875,4.570212637079673,cos_graph.png,-inf,-inf,-90.0
-4.176610978520286,1.8828125,4.581382125085446,cos_graph.png,inf,inf,90.0
-4.176610978520286,1.88671875,4.582988861812534,cos_graph.png,inf,0.0,90.0
-4.176610978520286,1.87109375,4.576578535017753,cos_graph.png,-inf,-inf,-90.0
-4.176610978520286,1.82421875,4.557614871152206,cos_graph.png,-inf,0.0,-90.0
-4.176610978520286,1.80859375,4.55138337414409,cos_graph.png,-inf,0.0,-90.0
-4.176610978520286,1.8046875,4.549832550605839,cos_graph.png,-inf,0.0,-90.0
-4.176610978520286,1.75390625,4.5299300656506,cos_graph.png,-inf,0.0,-90.0
-4.176610978520286,1.7578125,4.531443925621549,cos_graph.png,inf,inf,90.0
-4.176610978520286,1.7890625,4.543657545942743,cos_graph.png,inf,0.0,90.0
-4.152744630071599,1.7578125,4.50945592591221,cos_graph.png,-1.309374999999985,-inf,-52.63018980173253
-4.152744630071599,1.75390625,4.50793468191117,cos_graph.png,-inf,-inf,-90.0
-4.152744630071599,1.8046875,4.527933848373312,cos_graph.png,inf,inf,90.0
-4.152744630071599,1.83203125,4.538901459997239,cos_graph.png,inf,0.0,90.0
-4.152744630071599,1.82421875,4.535753742261595,cos_graph.png,-inf,-inf,-90.0
-4.152744630071599,1.8359375,4.540479541468582,cos_graph.png,inf,inf,90.0
