X,Y,Distance_from_Origin,Class,Slope,Curvature,Angle_with_X_Axis
-7.104477611940299,27.727272727272727,28.622984733097333,linear.png,0.0,0.0,0.0
-7.104477611940299,27.803030303030305,28.69637775346886,linear.png,inf,0.0,90.0
-7.074626865671641,26.060606060606062,27.003805908326708,linear.png,-58.37121212121108,-inf,-89.01852003663602
-7.074626865671641,25.681818181818183,26.6384333325451,linear.png,-inf,-inf,-90.0
-7.074626865671641,26.136363636363637,27.076924666969003,linear.png,inf,inf,90.0
-7.074626865671641,25.606060606060606,26.565403912791005,linear.png,-inf,-inf,-90.0
-7.044776119402985,25.757575757575758,26.703587389707867,linear.png,5.075757575757662,inf,78.85461555007794
-7.044776119402985,26.060606060606062,26.996000793054662,linear.png,inf,inf,90.0
-7.044776119402985,25.681818181818183,26.63052113077169,linear.png,-inf,-inf,-90.0
-7.044776119402985,26.136363636363637,27.06914063476604,linear.png,inf,inf,90.0
-7.014925373134329,25.757575757575758,26.695727877282128,linear.png,-12.689393939394096,-inf,-85.49406297397306
-7.014925373134329,27.5,28.380612713446546,linear.png,inf,inf,90.0
-7.014925373134329,28.106060606060606,28.96825539762786,linear.png,inf,0.0,90.0
-7.014925373134329,25.681818181818183,26.622640047797866,linear.png,-inf,-inf,-90.0
-7.014925373134329,28.40909090909091,29.262358487853223,linear.png,inf,inf,90.0
-7.014925373134329,27.575757575757574,28.454025793683307,linear.png,-inf,-inf,-90.0
-7.014925373134329,28.257575757575758,29.115284056415746,linear.png,inf,inf,90.0
-7.014925373134329,28.181818181818183,29.04176396198588,linear.png,-inf,-inf,-90.0
-7.014925373134329,27.12121212121212,28.013734576354274,linear.png,-inf,0.0,-90.0
-7.014925373134329,26.515151515151516,27.4274030462617,linear.png,-inf,0.0,-90.0
-7.014925373134329,27.803030303030305,28.674338214191888,linear.png,inf,inf,90.0
-7.014925373134329,26.59090909090909,27.500647706402034,linear.png,-inf,-inf,-90.0
-7.014925373134329,26.742424242424242,27.647177656181174,linear.png,inf,inf,90.0
-7.014925373134329,26.81818181818182,27.72046273105306,linear.png,inf,0.0,90.0
-7.014925373134329,27.196969696969695,28.087084909056184,linear.png,inf,0.0,90.0
-7.014925373134329,27.727272727272727,28.600888637998747,linear.png,inf,0.0,90.0
-6.985074626865671,28.333333333333332,29.181655972899488,linear.png,20.303030303029924,-inf,87.18024776944314
-6.985074626865671,27.196969696969695,28.079644375254656,linear.png,-inf,-inf,-90.0
-6.985074626865671,28.40909090909091,29.255216865097314,linear.png,inf,inf,90.0
-6.985074626865671,28.03030303030303,28.88752595002725,linear.png,-inf,-inf,-90.0
-6.985074626865671,25.833333333333332,26.761023497878284,linear.png,-inf,0.0,-90.0
-6.985074626865671,25.90909090909091,26.834162168370746,linear.png,inf,inf,90.0
-6.985074626865671,27.803030303030305,28.66705010241033,linear.png,inf,0.0,90.0
-6.985074626865671,28.106060606060606,28.96104125086725,linear.png,inf,0.0,90.0
-6.985074626865671,26.515151515151516,27.41978350414759,linear.png,-inf,-inf,-90.0
-6.985074626865671,26.81818181818182,27.712923764481086,linear.png,inf,inf,90.0
-6.985074626865671,26.893939393939394,27.786241985338137,linear.png,inf,0.0,90.0
